2015/4/22,201504W4,9620
2015/4/15,201504,9520
2015/4/8,201504W2,9584
2015/4/1,201504W1,9525
2015/3/25,201503W4,9669
2015/3/18,201503,9633
2015/3/11,201503W2,9553
2015/3/4,201503W1,9619
2015/2/25,201502W4,9684
2015/2/24,201502,9623
2015/2/11,201502W2,9462
2015/2/4,201502W1,9517
2015/1/28,201501W4,9499
2015/1/21,201501,9309
2015/1/14,201501W2,9193
2015/1/7,201501W1,9096
2014/12/31,201412W5,9277
2014/12/24,201412W4,9176
2014/12/17,201412,8843
2014/12/10,201412W2,9032
2014/12/3,201412W1,9173
2014/11/26,201411W4,9127
2014/11/19,201411,8953
2014/11/12,201411W2,8906
2014/11/5,201411W1,8950
2014/10/29,201410W5,8896
2014/10/22,201410W4,8741
2014/10/15,201410,8646
2014/10/8,201410W2,8979
2014/10/1,201410W1,8994
2014/9/24,201409W4,9111
2014/9/17,201409,9172
2014/9/10,201409W2,9356
2014/9/3,201409W1,9428
2014/8/27,201408W4,9471
2014/8/20,201408,9275
2014/8/13,201408W2,9225
2014/8/6,201408W1,9150
2014/7/30,201407W5,9444
2014/7/24,201407W4,9506
2014/7/16,201407,9483
2014/7/9,201407W2,9495
2014/7/2,201407W1,9464
2014/6/25,201406W4,9242
2014/6/18,201406,9302
2014/6/11,201406W2,9213
2014/6/4,201406W1,9124
2014/5/28,201405W4,9114
2014/5/21,201405,8860
2014/5/14,201405W2,8849
2014/5/7,201405W1,8891
2014/4/30,201404W5,8811
2014/4/23,201404W4,8963
2014/4/16,201404,8954
2014/4/9,201404W2,8930
2014/4/2,201404W1,8900
2014/3/26,201403W4,8736
2014/3/19,201403,8696
2014/3/12,201403W2,8662
2014/3/5,201403W1,8639
2014/2/26,201402W4,8611
2014/2/19,201402,8556
2014/2/12,201402W2,8502
2014/2/5,201401W5,8269
2014/1/22,201401W4,8610
2014/1/15,201401,8610
2014/1/8,201401W2,8560
2014/1/2,201401W1,8606
2013/12/25,201312W4,8475
2013/12/18,201312,8338
2013/12/11,201312W2,8422
2013/12/4,201312W1,8422
2013/11/27,201311W4,8299
2013/11/20,201311,8219
2013/11/13,201311W2,8112
2013/11/6,201311W1,8270
2013/10/30,201310W5,8444
2013/10/23,201310W4,8385
2013/10/16,201310,8344
2013/10/9,201310W2,8342
2013/10/2,201310W1,8220
2013/9/25,201309W4,8276
2013/9/18,201309,8238
2013/9/11,201309W2,8179
2013/9/4,201309W1,8082
2013/8/28,201308W4,7821
2013/8/22,201308,7813
