2014/1/8,201401W2,8560
2014/1/2,201401W1,8606
2013/12/25,201312W4,8475
2013/12/18,201312,8338
2013/12/11,201312W2,8422
2013/12/4,201312W1,8422
2013/11/27,201311W4,8299
2013/11/20,201311,8219
2013/11/13,201311W2,8112
2013/11/6,201311W1,8270
2013/10/30,201310W5,8444
2013/10/23,201310W4,8385
2013/10/16,201310,8344
2013/10/9,201310W2,8342
2013/10/2,201310W1,8220
2013/9/25,201309W4,8276
2013/9/18,201309,8238
2013/9/11,201309W2,8179
2013/9/4,201309W1,8082
2013/8/28,201308W4,7821
2013/8/22,201308,7813
2013/8/14,201308W2,7954
2013/8/7,201308W1,7936
2013/7/17,201307,8241
2013/6/19,201306,8019
2013/5/15,201305,8303
2013/4/17,201304,7808
2013/3/20,201303,7795
2013/2/20,201302,8022
2013/1/16,201301,7718
2012/12/19,201212,7659
2012/11/21,201211,7084
2012/10/17,201210,7460
2012/9/19,201209,7767
2012/8/15,201208,7468
2012/7/18,201207,7060
2012/6/20,201206,7311
2012/5/16,201205,7255
2012/4/18,201204,7620
2012/3/21,201203,7980
2012/2/15,201202,8005
2012/1/18,201201,7207
2011/12/21,201112,6952
2011/11/16,201111,7398
2011/10/19,201110,7330
2011/9/21,201109,7537
2011/8/17,201108,7754
2011/7/20,201107,8697
2011/6/15,201106,8839
2011/5/18,201105,8934
2011/4/20,201104,8792
2011/3/16,201103,8305
2011/2/16,201102,8719
2011/1/19,201101,9083
2010/12/15,201012,8727
2010/11/17,201011,8246
2010/10/20,201010,8119
2010/9/15,201009,8154
2010/8/18,201008,7918
2010/7/21,201007,7687
2010/6/17,201006,7520
2010/5/19,201005,7576
2010/4/21,201004,7980
2010/3/17,201003,7842
2010/2/22,201002,7558
2010/1/20,201001,8214
2009/12/16,200912,7752
2009/11/18,200911,7786
2009/10/21,200910,7705
2009/9/16,200909,7445
2009/8/19,200908,6795
2009/7/15,200907,6762
2009/6/17,200906,6203
2009/5/20,200905,6697
2009/4/15,200904,5860
2009/3/18,200903,5067
2009/2/18,200902,4514
2009/1/21,200901,4258
2008/12/17,200812,4667
2008/11/20,200811,4127
2008/10/16,200810,5069
2008/9/18,200809,5559
2008/8/21,200808,6990
2008/7/17,200807,6885
2008/6/19,200806,8069
2008/5/22,200805,8887
2008/4/17,200804,9178
2008/3/20,200803,8171
2008/2/21,200802,7987
2008/1/17,200801,8268
2007/12/20,200712,8026
2007/11/22,200711,8445
2007/10/18,200710,9596
2007/9/20,200709,8999
2007/8/16,200708,8391
2007/7/19,200707,9459
2007/6/21,200706,8799
2007/5/17,200705,8061
2007/4/19,200704,7980
2007/3/22,200703,7843
2007/2/27,200702,7900
2007/1/18,200701,7845
